Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume,Market_Share_Pct
2023-2024,Graphite,25041010,Import,MADAGASCAR,2.3,2948650.0,31.506849315068493
2023-2024,Graphite,25041010,Import,MEXICO,,,
2023-2024,Graphite,25041010,Import,MOZAMBIQUE,0.08,120544.0,1.095890410958904
2023-2024,Graphite,25041010,Import,SINGAPORE,0.04,80000.0,0.547945205479452
2023-2024,Graphite,25041010,Import,SOUTH AFRICA,,,
2023-2024,Graphite,25041010,Import,SWEDEN,0.01,1080.0,0.136986301369863
2023-2024,Graphite,25041010,Import,TANZANIA REP,0.02,48000.0,0.273972602739726
2023-2024,Graphite,25041010,Import,U ARAB EMTS,0.07,75500.0,0.9589041095890412
2023-2024,Graphite,25041010,Import,U K,0.03,16000.0,0.410958904109589
2023-2024,Graphite,25041010,Import,U S A,0.15,42535.0,2.054794520547945
2023-2024,Graphite,25041010,Import,UKRAINE,0.0,150.0,0.0
2023-2024,Graphite,25041010,Import,VIETNAM SOC REP,0.34,674000.0,4.657534246575342
2024-2025,Graphite,25041010,Import,AUSTRIA,0.01,7000.0,0.136986301369863
2024-2025,Graphite,25041010,Import,CANADA,0.04,9945.0,0.547945205479452
2024-2025,Graphite,25041010,Import,CHINA P RP,3.71,4133300.0,50.821917808219176
2024-2025,Graphite,25041010,Import,GERMANY,0.11,17595.0,1.5068493150684932
2024-2025,Graphite,25041010,Import,HONG KONG,,,
2024-2025,Graphite,25041010,Import,ITALY,0.0,495.0,0.0
2024-2025,Graphite,25041010,Import,JAPAN,0.39,24140.0,5.342465753424658
2024-2025,Graphite,25041010,Import,KOREA RP,,,
2024-2025,Graphite,25041010,Import,MADAGASCAR,2.3,2948650.0,31.506849315068493
2024-2025,Graphite,25041010,Import,MEXICO,,,
2024-2025,Graphite,25041010,Import,MOZAMBIQUE,0.08,120544.0,1.095890410958904
2024-2025,Graphite,25041010,Import,SINGAPORE,0.04,80000.0,0.547945205479452
2024-2025,Graphite,25041010,Import,SOUTH AFRICA,,,
2024-2025,Graphite,25041010,Import,SWEDEN,0.01,1080.0,0.136986301369863
2024-2025,Graphite,25041010,Import,TANZANIA REP,0.02,48000.0,0.273972602739726
2024-2025,Graphite,25041010,Import,U ARAB EMTS,0.07,75500.0,0.9589041095890412
2024-2025,Graphite,25041010,Import,U K,0.03,16000.0,0.410958904109589
2024-2025,Graphite,25041010,Import,U S A,0.15,42535.0,2.054794520547945
2024-2025,Graphite,25041010,Import,UKRAINE,0.0,150.0,0.0
2024-2025,Graphite,25041010,Import,VIETNAM SOC REP,0.34,674000.0,4.657534246575342
2018-2019,Lithium (Carbonate),28369100,Import,ARGENTINA,0.42,26000.0,2.7149321266968323
2018-2019,Lithium (Carbonate),28369100,Import,AUSTRIA,0.32,8500.0,2.068519715578539
2018-2019,Lithium (Carbonate),28369100,Import,BELGIUM,2.42,229200.0,15.643180349062701
2018-2019,Lithium (Carbonate),28369100,Import,CHILE,3.99,238000.0,25.791855203619914
2018-2019,Lithium (Carbonate),28369100,Import,CHINA P RP,2.02,172033.0,13.05753070458953
2018-2019,Lithium (Carbonate),28369100,Import,FRANCE,0.06,110000.0,0.38784744667097604
2018-2019,Lithium (Carbonate),28369100,Import,GERMANY,0.0,147.0,0.0
2018-2019,Lithium (Carbonate),28369100,Import,IRELAND,0.24,440000.0,1.5513897866839041
2018-2019,Lithium (Carbonate),28369100,Import,ITALY,0.03,1400.0,0.19392372333548802
2018-2019,Lithium (Carbonate),28369100,Import,JAPAN,,,
2018-2019,Lithium (Carbonate),28369100,Import,SINGAPORE,0.13,3531.0,0.8403361344537815
2018-2019,Lithium (Carbonate),28369100,Import,SLOVENIA,0.6,14500.0,3.8784744667097604
2018-2019,Lithium (Carbonate),28369100,Import,U K,0.38,160002.0,2.4563671622495153
2018-2019,Lithium (Carbonate),28369100,Import,U S A,4.86,130411.0,31.41564318034906
2023-2024,Lithium (Carbonate),28369100,Import,ARGENTINA,3.78,95000.0,15.353371242891958
