Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume,Market_Share_Pct,Unit_Price,Country_Risk_Raw,Strategic_Vulnerability_Score,Anomaly_Flag,HHI_Risk_Score
2019-2020,Copper,26030000,Import,SAUDI ARAB,43.94,31389000.0,3.5859142285877508,1.399853451846188e-06,5.5,1.9722528257232628,1,2128.5687245437975
2019-2020,Copper,26030000,Import,TANZANIA REP,0.0,26.0,0.0,0.0,6.5,0.0,1,2128.5687245437975
2019-2020,Copper,26030000,Import,THAILAND,15.54,9929000.0,1.2682090831191088,1.5651122973109073e-06,5.8,0.7355612682090831,1,2128.5687245437975
2019-2020,Copper,26030000,Import,U S A,0.0,1.0,0.0,0.0,3.8,0.0,1,2128.5687245437975
2020-2021,Copper,26030000,Import,AUSTRALIA,0.0,1.0,,0.0,1.6,0.0,1,2128.5687245437975
2020-2021,Copper,26030000,Import,BOSNIA-HRZGOVIN,0.01,2000.0,0.0012552879002799,5e-06,5.5,0.000690408345153945,1,2128.5687245437975
2020-2021,Copper,26030000,Import,CANADA,39.25,20386000.0,4.927005008598722,1.9253409202393798e-06,1.5,0.7390507512898082,1,2128.5687245437975
2020-2021,Copper,26030000,Import,CHILE,391.62,245238000.0,49.15958475076258,1.5968977075330903e-06,3.1,15.2394712727364,1,2128.5687245437975
2020-2021,Copper,26030000,Import,ETHIOPIA,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
2020-2021,Copper,26030000,Import,INDONESIA,289.29,119609000.0,36.31422366719808,2.418630705047279e-06,5.4,19.609680780286965,1,2128.5687245437975
2020-2021,Copper,26030000,Import,MALAYSIA,53.52,19821000.0,6.718300842298182,2.700166490086272e-06,4.5,3.023235379034182,1,2128.5687245437975
2020-2021,Copper,26030000,Import,NIGERIA,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
2020-2021,Copper,26030000,Import,PANAMA REPUBLIC,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
2020-2021,Copper,26030000,Import,PERU,0.0,1.0,,0.0,5.7,0.0,1,2128.5687245437975
2020-2021,Copper,26030000,Import,PHILIPPINES,0.0,1.0,,0.0,6.5,0.0,1,2128.5687245437975
2020-2021,Copper,26030000,Import,SAUDI ARAB,22.9,10046000.0,2.874609291641037,2.2795142345212024e-06,5.5,1.5810351104025704,1,2128.5687245437975
2020-2021,Copper,26030000,Import,TANZANIA REP,0.0,1.0,,0.0,6.5,0.0,1,2128.5687245437975
2020-2021,Copper,26030000,Import,THAILAND,0.0,1.0,,0.0,5.8,0.0,1,2128.5687245437975
2020-2021,Copper,26030000,Import,U K,0.03,23790.0,0.0037658637008397,1.2610340479192938e-06,2.9,0.0010921004732435129,1,2128.5687245437975
2020-2021,Copper,26030000,Import,U S A,0.01,10295.0,0.0012552879002799,9.713453132588635e-07,3.8,0.00047700940210636196,1,2128.5687245437975
2021-2022,Copper,26030000,Import,AUSTRALIA,563.97,111473890.0,18.74482744867333,5.059211623457296e-06,1.6,2.999172391787733,-1,2128.5687245437975
2021-2022,Copper,26030000,Import,BOSNIA-HRZGOVIN,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
2021-2022,Copper,26030000,Import,BRAZIL,89.55,30532208.0,2.976398209175483,2.9329683591831944e-06,5.7,1.6965469792300252,1,2128.5687245437975
2021-2022,Copper,26030000,Import,CANADA,120.43,30902340.0,4.002765341496409,3.897115881839369e-06,1.5,0.6004148012244613,1,2128.5687245437975
2021-2022,Copper,26030000,Import,CHILE,912.81,375188510.0,30.339319367029283,2.4329369788003366e-06,3.1,9.405189003779078,-1,2128.5687245437975
2021-2022,Copper,26030000,Import,CHINA P RP,0.01,60.0,0.0003323727760106,0.00016666666666666666,5.3,0.000176157571285618,1,2128.5687245437975
2021-2022,Copper,26030000,Import,CONGO P REP,0.04,25000.0,0.0013294911040426,1.6e-06,5.5,0.00073122010722343,1,2128.5687245437975
2021-2022,Copper,26030000,Import,INDONESIA,615.58,205139870.0,20.46020334566436,3.0007818567887367e-06,5.4,11.048509806658755,-1,2128.5687245437975
2021-2022,Copper,26030000,Import,IRAN,0.0,250.0,0.0,0.0,5.5,0.0,1,2128.5687245437975
2021-2022,Copper,26030000,Import,MALAYSIA,0.0,1.0,,0.0,4.5,0.0,1,2128.5687245437975
2021-2022,Copper,26030000,Import,PANAMA REPUBLIC,239.59,91635952.0,7.963319340439463,2.614585157580946e-06,5.5,4.379825637241704,1,2128.5687245437975
2021-2022,Copper,26030000,Import,PERU,346.15,120062090.0,11.50508364160908,2.883091573701574e-06,5.7,6.557897675717176,1,2128.5687245437975
2021-2022,Copper,26030000,Import,SAUDI ARAB,99.44,44550792.0,3.305114884650028,2.23205908438171e-06,5.5,1.8178131865575153,1,2128.5687245437975
2021-2022,Copper,26030000,Import,THAILAND,21.08,9424080.0,0.7006418118304765,2.2368231169514686e-06,5.8,0.40637225086167633,1,2128.5687245437975
2021-2022,Copper,26030000,Import,U K,0.0,1.0,0.0,0.0,2.9,0.0,1,2128.5687245437975
2021-2022,Copper,26030000,Import,U S A,0.02,3.0,0.0006647455520213,0.006666666666666667,3.8,0.000252603309768094,1,2128.5687245437975
2022-2023,Copper,26030000,Import,AUSTRALIA,449.76,102379340.0,13.187895847994367,4.393073836967498e-06,1.6,2.110063335679099,-1,2128.5687245437975
2022-2023,Copper,26030000,Import,BRAZIL,46.62,20417844.0,1.3669950738916254,2.28329690441361e-06,5.7,0.7791871921182265,1,2128.5687245437975
2022-2023,Copper,26030000,Import,CANADA,99.35,29877710.0,2.9131480178278206,3.3252213774081076e-06,1.5,0.4369722026741731,1,2128.5687245437975
2022-2023,Copper,26030000,Import,CHILE,904.91,400155550.0,26.53383767300023,2.2613955997861333e-06,3.1,8.225489678630073,1,2128.5687245437975
2022-2023,Copper,26030000,Import,CHINA P RP,0.0,1.0,,0.0,5.3,0.0,1,2128.5687245437975
2022-2023,Copper,26030000,Import,COLOMBIA,9.79,511528.0,0.2870631011025099,1.9138737273423938e-05,5.5,0.15788470560638043,1,2128.5687245437975
2022-2023,Copper,26030000,Import,CONGO P REP,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
2022-2023,Copper,26030000,Import,INDONESIA,909.69,262834780.0,26.67399718508093,3.4610716283438596e-06,5.4,14.403958479943702,1,2128.5687245437975
2022-2023,Copper,26030000,Import,IRAN,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
2022-2023,Copper,26030000,Import,MALAYSIA,142.5,31439672.0,4.178395496129486,4.532490033611038e-06,4.5,1.8802779732582686,1,2128.5687245437975
2022-2023,Copper,26030000,Import,MEXICO,0.0,10.0,0.0,0.0,5.8,0.0,1,2128.5687245437975
2022-2023,Copper,26030000,Import,PANAMA REPUBLIC,203.73,90886792.0,5.9737860661505975,2.241579832633987e-06,5.5,3.2855823363828285,1,2128.5687245437975
2022-2023,Copper,26030000,Import,PAPUA N GNA,167.42,49105440.0,4.909101571663148,3.4093982255326496e-06,5.5,2.7000058644147313,1,2128.5687245437975
2022-2023,Copper,26030000,Import,PERU,390.56,162446130.0,11.452029087497069,2.4042431789541554e-06,5.7,6.527656579873328,1,2128.5687245437975
2022-2023,Copper,26030000,Import,SAUDI ARAB,0.0,1.0,,0.0,5.5,0.0,1,2128.5687245437975
2022-2023,Copper,26030000,Import,TAIWAN,65.56,19374000.0,1.922355148956134,3.383916589243316e-06,5.5,1.0572953319258738,1,2128.5687245437975
2022-2023,Copper,26030000,Import,THAILAND,0.0,1.0,,0.0,5.8,0.0,1,2128.5687245437975
2022-2023,Copper,26030000,Import,TURKEY,0.0,1780.0,0.0,0.0,6.2,0.0,1,2128.5687245437975
2022-2023,Copper,26030000,Import,U K,0.0,1.0,,0.0,2.9,0.0,1,2128.5687245437975
2022-2023,Copper,26030000,Import,U S A,0.0,1.0,,0.0,3.8,0.0,1,2128.5687245437975
2022-2023,Copper,26030000,Import,VIETNAM SOC REP,20.51,9489320.0,0.6013957307060755,2.1613772114334854e-06,5.2,0.31272577996715933,1,2128.5687245437975
2023-2024,Copper,26030000,Import,AUSTRALIA,302.04,74457216.0,9.639953913079555,4.056557795553355e-06,1.6,1.5423926260927288,1,2128.5687245437975
2023-2024,Copper,26030000,Import,BRAZIL,52.26,18672976.0,1.6679379933039915,2.7986968975914713e-06,5.7,0.9507246561832752,1,2128.5687245437975
2023-2024,Copper,26030000,Import,CANADA,135.68,38513580.0,4.330383217211741,3.5229132165849036e-06,1.5,0.6495574825817612,1,2128.5687245437975
2023-2024,Copper,26030000,Import,CHILE,673.47,281283940.0,21.49456946709605,2.3942710700084762e-06,3.1,6.663316534799776,1,2128.5687245437975
2023-2024,Copper,26030000,Import,COLOMBIA,20.09,968824.0,0.6411954513103175,2.0736480516585055e-05,5.5,0.3526574982206746,1,2128.5687245437975
2023-2024,Copper,26030000,Import,INDONESIA,1109.42,324177250.0,35.40841501208026,3.422263591908439e-06,5.4,19.120544106523344,-1,2128.5687245437975
2023-2024,Copper,26030000,Import,MALAYSIA,51.69,10228560.0,1.649745787866118,5.053497266477393e-06,4.5,0.7423856045397531,1,2128.5687245437975
2023-2024,Copper,26030000,Import,MEXICO,0.0,1.0,,0.0,5.8,0.0,1,2128.5687245437975
2023-2024,Copper,26030000,Import,MOROCCO,0.04,229180.0,0.0012766459956402,1.7453529976437735e-07,5.7,0.0007276882175149141,1,2128.5687245437975
2023-2024,Copper,26030000,Import,NAMIBIA,24.44,9460876.0,0.7800307033361952,2.583270301819832e-06,5.2,0.4056159657348215,1,2128.5687245437975
2023-2024,Copper,26030000,Import,PANAMA REPUBLIC,134.6,60459772.0,4.295913775329454,2.226273694846219e-06,5.5,2.362752576431199,1,2128.5687245437975
2023-2024,Copper,26030000,Import,PAPUA N GNA,203.49,58935600.0,6.4946173413208825,3.452751817237799e-06,5.5,3.572039537726485,1,2128.5687245437975
2023-2024,Copper,26030000,Import,PERU,211.73,99396672.0,6.757606416422774,2.1301518022655726e-06,5.7,3.8518356573609807,1,2128.5687245437975
