Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2024-2025,RareEarthMetal-Compounds,28461010,Import,CHINA P RP,1.23,129870.0
2024-2025,RareEarthMetal-Compounds,28461010,Import,ESTONIA,0.01,500.0
2024-2025,RareEarthMetal-Compounds,28461010,Import,FRANCE,,
2024-2025,RareEarthMetal-Compounds,28461010,Import,GERMANY,0.03,1070.0
2024-2025,RareEarthMetal-Compounds,28461010,Import,JAPAN,0.0,32.0
2024-2025,RareEarthMetal-Compounds,28461010,Import,KOREA RP,0.0,
2024-2025,RareEarthMetal-Compounds,28461010,Import,NETHERLAND,,
2024-2025,RareEarthMetal-Compounds,28461010,Import,SPAIN,,
2024-2025,RareEarthMetal-Compounds,28461010,Import,U K,0.01,17.0
2024-2025,RareEarthMetal-Compounds,28461010,Import,U S A,0.0,7.0
