Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2023-2024,Copper,26030000,Import,PAPUA N GNA,203.49,58935600.0
2023-2024,Copper,26030000,Import,PERU,211.73,99396672.0
2023-2024,Copper,26030000,Import,PHILIPPINES,140.41,30590856.0
2023-2024,Copper,26030000,Import,SOUTH AFRICA,0.86,225000.0
2023-2024,Copper,26030000,Import,TAIWAN,,
2023-2024,Copper,26030000,Import,TANZANIA REP,72.99,8700619.0
2023-2024,Copper,26030000,Import,TURKEY,,
2023-2024,Copper,26030000,Import,VIETNAM SOC REP,,
2023-2024,Copper,26030000,Import,ZAMBIA,0.0,37.0
2024-2025,Copper,26030000,Import,AUSTRALIA,669.63,156092506.0
2024-2025,Copper,26030000,Import,BRAZIL,22.16,9132930.0
2024-2025,Copper,26030000,Import,CANADA,207.8,59128494.0
2024-2025,Copper,26030000,Import,CHILE,1366.14,554056770.0
2024-2025,Copper,26030000,Import,COLOMBIA,,
2024-2025,Copper,26030000,Import,FRANCE,0.0,43.0
2024-2025,Copper,26030000,Import,INDONESIA,727.89,166114598.0
2024-2025,Copper,26030000,Import,MALAYSIA,,
2024-2025,Copper,26030000,Import,MOROCCO,,
2024-2025,Copper,26030000,Import,MOZAMBIQUE,0.07,26400.0
2024-2025,Copper,26030000,Import,NAMIBIA,37.79,13719650.0
2024-2025,Copper,26030000,Import,PANAMA REPUBLIC,,
2024-2025,Copper,26030000,Import,PAPUA N GNA,74.94,19740240.0
2024-2025,Copper,26030000,Import,PERU,424.2,159608912.0
2024-2025,Copper,26030000,Import,PHILIPPINES,0.03,59370.0
2024-2025,Copper,26030000,Import,SOUTH AFRICA,,
2024-2025,Copper,26030000,Import,TANZANIA REP,274.5,32818151.0
2024-2025,Copper,26030000,Import,U S A,43.25,5093651.0
2024-2025,Copper,26030000,Import,ZAMBIA,0.0,90.0
