Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2021-2022,LithiumCarbonate,28369100,Import,U S A,2.07,33902.0
2022-2023,LithiumCarbonate,28369100,Import,ARGENTINA,1.48,43000.0
2022-2023,LithiumCarbonate,28369100,Import,AUSTRIA,,
2022-2023,LithiumCarbonate,28369100,Import,BELGIUM,11.89,227000.0
2022-2023,LithiumCarbonate,28369100,Import,BRAZIL,0.0,50.0
2022-2023,LithiumCarbonate,28369100,Import,CANADA,,
2022-2023,LithiumCarbonate,28369100,Import,CHILE,0.28,3600.0
2022-2023,LithiumCarbonate,28369100,Import,CHINA P RP,0.0,14.0
2022-2023,LithiumCarbonate,28369100,Import,GERMANY,0.74,23080.0
2022-2023,LithiumCarbonate,28369100,Import,IRELAND,0.12,200000.0
2022-2023,LithiumCarbonate,28369100,Import,ITALY,,
2022-2023,LithiumCarbonate,28369100,Import,NETHERLAND,0.22,400000.0
2022-2023,LithiumCarbonate,28369100,Import,SINGAPORE,0.0,1.0
2022-2023,LithiumCarbonate,28369100,Import,SLOVENIA,0.6,13000.0
2022-2023,LithiumCarbonate,28369100,Import,U K,2.81,40200.0
2022-2023,LithiumCarbonate,28369100,Import,U S A,4.1,75081.0
2023-2024,LithiumCarbonate,28369100,Import,BELGIUM,0.0,2.0
2023-2024,LithiumCarbonate,28369100,Import,CHINA P RP,2.23,231250.0
2023-2024,LithiumCarbonate,28369100,Import,ESTONIA,0.01,200.0
2023-2024,LithiumCarbonate,28369100,Import,FRANCE,0.01,800.0
2023-2024,LithiumCarbonate,28369100,Import,GERMANY,0.04,1830.0
2023-2024,LithiumCarbonate,28369100,Import,JAPAN,0.0,17.0
2023-2024,LithiumCarbonate,28369100,Import,KOREA RP,0.0,1.0
2023-2024,LithiumCarbonate,28369100,Import,NETHERLAND,0.0,60.0
2023-2024,LithiumCarbonate,28369100,Import,POLAND,,
2023-2024,LithiumCarbonate,28369100,Import,SPAIN,0.0,
2023-2024,LithiumCarbonate,28369100,Import,U K,0.01,4.0
2023-2024,LithiumCarbonate,28369100,Import,U S A,0.01,10.0
2024-2025,LithiumCarbonate,28369100,Import,BELGIUM,0.0,
2024-2025,LithiumCarbonate,28369100,Import,CHINA P RP,1.23,129870.0
2024-2025,LithiumCarbonate,28369100,Import,ESTONIA,0.01,500.0
2024-2025,LithiumCarbonate,28369100,Import,FRANCE,,
2024-2025,LithiumCarbonate,28369100,Import,GERMANY,0.03,1070.0
2024-2025,LithiumCarbonate,28369100,Import,JAPAN,0.0,32.0
2024-2025,LithiumCarbonate,28369100,Import,KOREA RP,0.0,
2024-2025,LithiumCarbonate,28369100,Import,NETHERLAND,,
2024-2025,LithiumCarbonate,28369100,Import,SPAIN,,
2024-2025,LithiumCarbonate,28369100,Import,U K,0.01,17.0
2024-2025,LithiumCarbonate,28369100,Import,U S A,0.0,7.0
