Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume,Market_Share_Pct
2022-2023,Copper,26030000,Import,BRAZIL,46.62,20417844.0,1.3669950738916254
2022-2023,Copper,26030000,Import,CANADA,99.35,29877710.0,2.9131480178278206
2022-2023,Copper,26030000,Import,CHILE,904.91,400155550.0,26.53383767300023
2022-2023,Copper,26030000,Import,CHINA P RP,,,
2022-2023,Copper,26030000,Import,COLOMBIA,9.79,511528.0,0.28706310110250993
2022-2023,Copper,26030000,Import,CONGO P REP,,,
2022-2023,Copper,26030000,Import,INDONESIA,909.69,262834780.0,26.67399718508093
2022-2023,Copper,26030000,Import,IRAN,,,
2022-2023,Copper,26030000,Import,MALAYSIA,142.5,31439672.0,4.178395496129486
2022-2023,Copper,26030000,Import,MEXICO,0.0,10.0,0.0
2022-2023,Copper,26030000,Import,PANAMA REPUBLIC,203.73,90886792.0,5.9737860661505975
2022-2023,Copper,26030000,Import,PAPUA N GNA,167.42,49105440.0,4.909101571663148
2022-2023,Copper,26030000,Import,PERU,390.56,162446130.0,11.452029087497067
2022-2023,Copper,26030000,Import,SAUDI ARAB,,,
2022-2023,Copper,26030000,Import,TAIWAN,65.56,19374000.0,1.9223551489561341
2022-2023,Copper,26030000,Import,THAILAND,,,
2022-2023,Copper,26030000,Import,TURKEY,0.0,1780.0,0.0
2022-2023,Copper,26030000,Import,U K,,,
2022-2023,Copper,26030000,Import,U S A,,,
2022-2023,Copper,26030000,Import,VIETNAM SOC REP,20.51,9489320.0,0.6013957307060755
2023-2024,Copper,26030000,Import,AUSTRALIA,302.04,74457216.0,9.639953913079557
2023-2024,Copper,26030000,Import,BRAZIL,52.26,18672976.0,1.6679379933039917
2023-2024,Copper,26030000,Import,CANADA,135.68,38513580.0,4.330383217211741
2023-2024,Copper,26030000,Import,CHILE,673.47,281283940.0,21.494569467096046
2023-2024,Copper,26030000,Import,COLOMBIA,20.09,968824.0,0.6411954513103175
2023-2024,Copper,26030000,Import,INDONESIA,1109.42,324177250.0,35.40841501208026
2023-2024,Copper,26030000,Import,MALAYSIA,51.69,10228560.0,1.6497457878661181
2023-2024,Copper,26030000,Import,MEXICO,,,
2023-2024,Copper,26030000,Import,MOROCCO,0.04,229180.0,0.001276645995640254
2023-2024,Copper,26030000,Import,NAMIBIA,24.44,9460876.0,0.7800307033361952
2023-2024,Copper,26030000,Import,PANAMA REPUBLIC,134.6,60459772.0,4.295913775329454
2023-2024,Copper,26030000,Import,PAPUA N GNA,203.49,58935600.0,6.4946173413208825
2023-2024,Copper,26030000,Import,PERU,211.73,99396672.0,6.757606416422774
2023-2024,Copper,26030000,Import,PHILIPPINES,140.41,30590856.0,4.481346606196201
2023-2024,Copper,26030000,Import,SOUTH AFRICA,0.86,225000.0,0.02744788890626546
2023-2024,Copper,26030000,Import,TAIWAN,,,
2023-2024,Copper,26030000,Import,TANZANIA REP,72.99,8700619.0,2.329559780544553
2023-2024,Copper,26030000,Import,TURKEY,,,
2023-2024,Copper,26030000,Import,VIETNAM SOC REP,,,
2023-2024,Copper,26030000,Import,ZAMBIA,0.0,37.0,0.0
2024-2025,Copper,26030000,Import,AUSTRALIA,669.63,156092506.0,17.400218272528843
2024-2025,Copper,26030000,Import,BRAZIL,22.16,9132930.0,0.5758237189481343
2024-2025,Copper,26030000,Import,CANADA,207.8,59128494.0,5.399646606381873
2024-2025,Copper,26030000,Import,CHILE,1366.14,554056770.0,35.49890863735578
2024-2025,Copper,26030000,Import,COLOMBIA,,,
2024-2025,Copper,26030000,Import,FRANCE,0.0,43.0,0.0
2024-2025,Copper,26030000,Import,INDONESIA,727.89,166114598.0,18.9140941690053
2024-2025,Copper,26030000,Import,MALAYSIA,,,
2024-2025,Copper,26030000,Import,MOROCCO,,,
