Year,Mineral,HS_Code,Flow,Country,Value_USD,Volume
2023-2024,Titanium-UnwroughtMetalPowders,81082000,Import,NETHERLAND,0.1,15000.0
2023-2024,Titanium-UnwroughtMetalPowders,81082000,Import,RUSSIA,0.34,49960.0
2023-2024,Titanium-UnwroughtMetalPowders,81082000,Import,SINGAPORE,,
2023-2024,Titanium-UnwroughtMetalPowders,81082000,Import,SWEDEN,0.02,100.0
2023-2024,Titanium-UnwroughtMetalPowders,81082000,Import,SWITZERLAND,0.22,1012.0
2023-2024,Titanium-UnwroughtMetalPowders,81082000,Import,U ARAB EMTS,,
2023-2024,Titanium-UnwroughtMetalPowders,81082000,Import,U K,0.04,1393.0
2023-2024,Titanium-UnwroughtMetalPowders,81082000,Import,U S A,0.01,180.0
2024-2025,Titanium-UnwroughtMetalPowders,81082000,Import,AUSTRIA,0.01,40.0
2024-2025,Titanium-UnwroughtMetalPowders,81082000,Import,CANADA,0.61,4580.0
2024-2025,Titanium-UnwroughtMetalPowders,81082000,Import,CHINA P RP,9.48,931347.0
2024-2025,Titanium-UnwroughtMetalPowders,81082000,Import,GERMANY,0.01,40.0
2024-2025,Titanium-UnwroughtMetalPowders,81082000,Import,ITALY,,
2024-2025,Titanium-UnwroughtMetalPowders,81082000,Import,JAPAN,0.4,75000.0
2024-2025,Titanium-UnwroughtMetalPowders,81082000,Import,KAZAKHSTAN,0.76,120000.0
2024-2025,Titanium-UnwroughtMetalPowders,81082000,Import,NETHERLAND,0.81,149877.0
2024-2025,Titanium-UnwroughtMetalPowders,81082000,Import,RUSSIA,0.67,104952.0
2024-2025,Titanium-UnwroughtMetalPowders,81082000,Import,SAUDI ARAB,1.53,108000.0
2024-2025,Titanium-UnwroughtMetalPowders,81082000,Import,SWEDEN,,
2024-2025,Titanium-UnwroughtMetalPowders,81082000,Import,SWITZERLAND,0.13,584.0
2024-2025,Titanium-UnwroughtMetalPowders,81082000,Import,U K,0.0,
2024-2025,Titanium-UnwroughtMetalPowders,81082000,Import,U S A,0.01,45.0
